step,loss,perplexity,learning_rate
362,6.429471209645271,619.8460927017525,0.0002999940387519699
363,6.350305467844009,572.6676138397446,0.0002999939649297182
364,6.541638374328613,693.4217322438246,0.00029999389065318925
365,6.662265822291374,782.3215320088633,0.0002999938159223834
366,6.28917995095253,538.7113781461767,0.00029999374073730073
367,6.430860608816147,620.7079049109683,0.0002999936650979417
368,6.452990636229515,634.5973074489466,0.0002999935890043065
369,6.31128391623497,550.751614004164,0.0002999935124563954
370,6.309700042009354,549.8799831770455,0.0002999934354542085
371,6.603209733963013,737.4584399109702,0.0002999933579977463
372,6.408979758620262,607.2737990419865,0.00029999328008700895
373,6.281897678971291,534.8025850922729,0.00029999320172199655
374,5.662352561950684,287.824972769153,0.00029999312290270963
375,6.38777756690979,594.5337987488214,0.0002999930436291484
376,6.680745705962181,796.9131533881033,0.00029999296390131294
377,6.295831888914108,542.3067978094901,0.00029999288371920373
378,6.474023953080177,648.0863561133197,0.00029999280308282096
379,6.42768295109272,618.7386381278943,0.00029999272199216496
380,6.3405971974134445,567.1349017652905,0.00029999264044723584
381,6.486199349164963,656.0252959925996,0.00029999255844803403
382,6.451753064990044,633.8124338412784,0.00029999247599455964
383,6.583755061030388,723.2500847462042,0.0002999923930868132
384,6.633882701396942,760.4289647827829,0.00029999230972479487
385,6.471696883440018,646.5799674452642,0.0002999922259085048
386,6.459437355399132,638.7015934509232,0.00029999214163794346
387,6.378235682845116,588.8878057118791,0.00029999205691311095
388,6.370325788855553,584.2481394217875,0.0002999919717340077
389,6.438225701451302,625.2963525594822,0.00029999188610063405
390,6.384866997599602,592.8058827497762,0.0002999918000129902
391,6.382960215210915,591.6766079154751,0.0002999917134710764
392,6.440558150410652,626.7565266150393,0.0002999916264748929
393,6.39548996090889,599.1368049332547,0.0002999915390244401
394,6.452451452612877,634.2552352057693,0.0002999914511197183
395,6.43017540872097,620.2827414730948,0.0002999913627607277
396,6.4257552325725555,617.54703310458,0.00029999127394746876
397,6.298327937722206,543.6621128083159,0.0002999911846799417
398,6.340583339333534,567.1270424189597,0.0002999910949581467
399,6.270644709467888,528.8182021012664,0.0002999910047820841
400,6.568070471286774,711.9947026505627,0.0002999909141517544
401,6.240719169378281,513.2274757374781,0.0002999908230671577
402,6.237538456916809,511.59764010316417,0.0002999907315282944
403,6.3735610991716385,586.1414244853071,0.0002999906395351647
404,6.113370716571808,451.85924052812857,0.00029999054708776905
405,6.177711233496666,481.887764642227,0.00029999045418610776
406,6.359561517834663,577.992861259886,0.00029999036083018103
407,6.316047012805939,553.3811545346415,0.0002999902670199892
408,6.4537205547094345,635.0606808427893,0.00029999017275553273
409,6.5459194034338,696.3966541819303,0.0002999900780368117
410,6.299710214138031,544.4141237487839,0.00029998998286382664
411,6.31643083691597,553.5935963313225,0.0002999898872365777
412,6.252709239721298,519.4181484089378,0.00029998979115506536
413,6.289696618914604,538.9897849718201,0.0002999896946192898
414,6.399400278925896,601.4842069293002,0.0002999895976292514
415,6.345272466540337,569.7926179905451,0.0002999895001849506
416,6.1785935908555984,482.31314950066997,0.00029998940228638754
417,6.331201285123825,561.831107982102,0.00029998930393356263
418,6.4953932762146,662.0845562234227,0.0002999892051264762
419,6.3374151438474655,565.3331163379352,0.0002999891058651287
420,6.3949703723192215,598.825581146927,0.0002999890061495202
421,6.351833999156952,573.5436235529855,0.0002999889059796513
422,6.216251015663147,500.82213378443834,0.00029998880535552213
423,6.169430643320084,477.91392512689293,0.0002999887042771332
424,6.143197104334831,465.5395727280116,0.0002999886027444848
425,6.2821019142866135,534.911821821494,0.00029998850075757717
426,6.49134273827076,659.4081816440425,0.0002999883983164107
427,6.323086902499199,557.2906418544542,0.0002999882954209858
428,6.745008364319801,849.8062346987697,0.0002999881920713028
429,6.4589744955301285,638.4060325219695,0.0002999880882673621
430,6.352078005671501,573.6835890090578,0.0002999879840091639
431,6.1641470193862915,475.39546682599126,0.0002999878792967086
432,6.568886488676071,712.5759398265816,0.0002999877741299966
433,6.192082300782204,488.8630069221371,0.00029998766850902823
434,6.427613347768784,618.6955733607755,0.0002999875624338039
435,6.40734076499939,606.279296373626,0.0002999874559043239
436,6.318418547511101,554.6950745354342,0.00029998734892058853
437,6.464040189981461,641.6482074191181,0.0002999872414825983
438,6.401716038584709,602.8787138393452,0.00029998713359035345
439,6.368476018309593,583.1684133525642,0.00029998702524385446
440,6.403991743922234,604.2522504358146,0.00029998691644310155
441,6.437304273247719,624.7204522307856,0.00029998680718809525
442,6.310263559222221,550.1899373366269,0.0002999866974788358
